hm_name,交易次数,涉及股票数,交易天数,买入次数,卖出次数,平均交易金额,总交易金额,总买入金额,总卖出金额,净交易金额,涉及股票代码,涉及股票详情,最早交易日期,最晚交易日期
机构专用,40,40,1,33.0,36.0,22783428.325249996,911337133.0099999,1449522263.53,1360404214.86,89118048.66999999,000554.SZ|000701.SZ|002104.SZ|002141.SZ|002177.SZ|002181.SZ|002235.SZ|002294.SZ|002336.SZ|002366.SZ|002554.SZ|002615.SZ|002678.SZ|002731.SZ|002828.SZ|002878.SZ|002951.SZ|300016.SZ|300157.SZ|300164.SZ|300457.SZ|300468.SZ|300546.SZ|300581.SZ|300753.SZ|300941.SZ|301141.SZ|301357.SZ|301665.SZ|600792.SH|601718.SH|601975.SH|603538.SH|603585.SH|603716.SH|688291.SH|688573.SH|836221.BJ|839719.BJ|920082.BJ,000554.SZ(泰山石油)|000701.SZ(厦门信达)|002104.SZ(恒宝股份)|002141.SZ(*ST贤丰)|002177.SZ(御银股份)|002181.SZ(粤 传 媒)|002235.SZ(安妮股份)|002294.SZ(信立泰)|002336.SZ(人乐退)|002366.SZ(融发核电)|002554.SZ(惠博普)|002615.SZ(哈尔斯)|002678.SZ(珠江钢琴)|002731.SZ(萃华珠宝)|002828.SZ(贝肯能源)|002878.SZ(元隆雅图)|002951.SZ(金时科技)|300016.SZ(北陆药业)|300157.SZ(新锦动力)|300164.SZ(通源石油)|300457.SZ(赢合科技)|300468.SZ(四方精创)|300546.SZ(雄帝科技)|300581.SZ(晨曦航空)|300753.SZ(爱朋医疗)|300941.SZ(创识科技)|301141.SZ(中科磁业)|301357.SZ(北方长龙)|301665.SZ(泰禾股份)|600792.SH(云煤能源)|601718.SH(际华集团)|601975.SH(招商南油)|603538.SH(美诺华)|603585.SH(苏利股份)|603716.SH(塞力医疗)|688291.SH(金橙子)|688573.SH(信宇人)|836221.BJ(易实精密)|839719.BJ(宁新新材)|920082.BJ(方正阀门),20250617,20250617
T王,111,44,1,106.0,92.0,5262915.690180178,584183641.6099998,2387099824.1400003,2161127420.83,225972403.30999997,000525.SZ|000554.SZ|000701.SZ|002017.SZ|002104.SZ|002181.SZ|002235.SZ|002336.SZ|002366.SZ|002554.SZ|002615.SZ|002750.SZ|002828.SZ|002878.SZ|002898.SZ|300157.SZ|300164.SZ|300468.SZ|300546.SZ|300581.SZ|300773.SZ|301141.SZ|301357.SZ|301665.SZ|600281.SH|600387.SH|600798.SH|600804.SH|600980.SH|601022.SH|603003.SH|603124.SH|603322.SH|603538.SH|603716.SH|605099.SH|688573.SH|833171.BJ|836221.BJ|839680.BJ|839719.BJ|870199.BJ|920082.BJ|920088.BJ,000525.SZ(红太阳)|000554.SZ(泰山石油)|000701.SZ(厦门信达)|002017.SZ(东信和平)|002104.SZ(恒宝股份)|002181.SZ(粤 传 媒)|002235.SZ(安妮股份)|002336.SZ(人乐退)|002366.SZ(融发核电)|002554.SZ(惠博普)|002615.SZ(哈尔斯)|002750.SZ(龙津退)|002828.SZ(贝肯能源)|002878.SZ(元隆雅图)|002898.SZ(*ST赛隆)|300157.SZ(新锦动力)|300164.SZ(通源石油)|300468.SZ(四方精创)|300546.SZ(雄帝科技)|300581.SZ(晨曦航空)|300773.SZ(拉卡拉)|301141.SZ(中科磁业)|301357.SZ(北方长龙)|301665.SZ(泰禾股份)|600281.SH(华阳新材)|600387.SH(退市海越)|600798.SH(宁波海运)|600804.SH(退市鹏博)|600980.SH(北矿科技)|601022.SH(宁波远洋)|603003.SH(退市龙宇)|603124.SH(江南新材)|603322.SH(超讯通信)|603538.SH(美诺华)|603716.SH(塞力医疗)|605099.SH(共创草坪)|688573.SH(信宇人)|833171.BJ(国航远洋)|836221.BJ(易实精密)|839680.BJ(*ST广道)|839719.BJ(宁新新材)|870199.BJ(倍益康)|920082.BJ(方正阀门)|920088.BJ(科力股份),20250617,20250617
量化基金,43,25,1,24.0,39.0,10756834.535581397,462543885.03000003,561436036.8800001,749639956.19,-188203919.31000003,002177.SZ|002731.SZ|300157.SZ|300164.SZ|300581.SZ|301357.SZ|301665.SZ|600227.SH|600281.SH|600405.SH|600792.SH|600798.SH|600980.SH|601022.SH|601718.SH|601975.SH|603124.SH|603222.SH|603322.SH|603538.SH|603585.SH|603716.SH|605198.SH|688291.SH|688573.SH,002177.SZ(御银股份)|002731.SZ(萃华珠宝)|300157.SZ(新锦动力)|300164.SZ(通源石油)|300581.SZ(晨曦航空)|301357.SZ(北方长龙)|301665.SZ(泰禾股份)|600227.SH(赤天化)|600281.SH(华阳新材)|600405.SH(动力源)|600792.SH(云煤能源)|600798.SH(宁波海运)|600980.SH(北矿科技)|601022.SH(宁波远洋)|601718.SH(际华集团)|601975.SH(招商南油)|603124.SH(江南新材)|603222.SH(济民健康)|603322.SH(超讯通信)|603538.SH(美诺华)|603585.SH(苏利股份)|603716.SH(塞力医疗)|605198.SH(安德利)|688291.SH(金橙子)|688573.SH(信宇人),20250617,20250617
量化打板,19,14,1,16.0,10.0,23052657.969473686,438000501.42,361462855.42,165771396.0,195691459.42000002,000554.SZ|002017.SZ|002678.SZ|002828.SZ|002878.SZ|300016.SZ|300753.SZ|300773.SZ|300941.SZ|600227.SH|600405.SH|600792.SH|603222.SH|603716.SH,000554.SZ(泰山石油)|002017.SZ(东信和平)|002678.SZ(珠江钢琴)|002828.SZ(贝肯能源)|002878.SZ(元隆雅图)|300016.SZ(北陆药业)|300753.SZ(爱朋医疗)|300773.SZ(拉卡拉)|300941.SZ(创识科技)|600227.SH(赤天化)|600405.SH(动力源)|600792.SH(云煤能源)|603222.SH(济民健康)|603716.SH(塞力医疗),20250617,20250617
深股通专用,11,11,1,11.0,11.0,28767192.09090909,316439113.0,1892412472.0,1674248761.0,218163711.0,002017.SZ|002104.SZ|002181.SZ|002294.SZ|002366.SZ|002678.SZ|300457.SZ|300468.SZ|300581.SZ|300773.SZ|301665.SZ,002017.SZ(东信和平)|002104.SZ(恒宝股份)|002181.SZ(粤 传 媒)|002294.SZ(信立泰)|002366.SZ(融发核电)|002678.SZ(珠江钢琴)|300457.SZ(赢合科技)|300468.SZ(四方精创)|300581.SZ(晨曦航空)|300773.SZ(拉卡拉)|301665.SZ(泰禾股份),20250617,20250617
消闲派,6,6,1,5.0,4.0,45178204.379999995,271069226.28,328314503.0,132350378.72,195964124.28,002017.SZ|300457.SZ|300773.SZ|600281.SH|601975.SH|603585.SH,002017.SZ(东信和平)|300457.SZ(赢合科技)|300773.SZ(拉卡拉)|600281.SH(华阳新材)|601975.SH(招商南油)|603585.SH(苏利股份),20250617,20250617
成都系,4,4,1,4.0,3.0,47190024.75,188760099.0,158197962.0,40519261.0,117678701.0,000525.SZ|002181.SZ|002366.SZ|601975.SH,000525.SZ(红太阳)|002181.SZ(粤 传 媒)|002366.SZ(融发核电)|601975.SH(招商南油),20250617,20250617
陈小群,3,3,1,3.0,3.0,62805565.0,188416695.0,141332690.0,49642541.0,91690149.0,002878.SZ|002951.SZ|300773.SZ,002878.SZ(元隆雅图)|002951.SZ(金时科技)|300773.SZ(拉卡拉),20250617,20250617
一瞬流光,2,2,1,2.0,2.0,52780382.0,105560764.0,56483895.0,50514829.0,5969066.0,002366.SZ|002878.SZ,002366.SZ(融发核电)|002878.SZ(元隆雅图),20250617,20250617
北京帮,1,1,1,1.0,1.0,90332978.0,90332978.0,3217600.0,93550578.0,-90332978.0,300773.SZ,300773.SZ(拉卡拉),20250617,20250617
