游资名称,股票代码,股票名称,买入金额,卖出金额,净交易金额,交易方向,营业部
【N周二】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,605099.SH,共创草坪,,"10,849,853.00","-10,849,853.00",净卖出,中信证券股份有限公司杭州凤起路证券营业部
,,,,,,,
【T王】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,600281.SH,华阳新材,"35,488,856.50",,"35,488,856.50",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,300773.SZ,拉卡拉,"85,051,111.00","112,848,109.00","-27,796,998.00",净卖出,东方财富证券股份有限公司拉萨团结路第二证券营业部
,002017.SZ,东信和平,"35,565,057.00","11,450,354.00","24,114,703.00",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,002017.SZ,东信和平,"34,159,380.00","16,486,508.00","17,672,872.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,300468.SZ,四方精创,"162,525,598.00","147,299,924.00","15,225,674.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,600980.SH,北矿科技,"15,020,436.00",,"15,020,436.00",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,002615.SZ,哈尔斯,"14,122,512.00","28,889,719.00","-14,767,207.00",净卖出,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,002878.SZ,元隆雅图,"27,616,838.00","14,905,584.00","12,711,254.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,300773.SZ,拉卡拉,"101,813,583.00","89,283,815.00","12,529,768.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,600798.SH,宁波海运,,"12,501,029.00","-12,501,029.00",净卖出,东方财富证券股份有限公司拉萨团结路第一证券营业部
,300157.SZ,新锦动力,"26,315,166.00","14,203,449.00","12,111,717.00",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,600798.SH,宁波海运,"12,075,916.00",,"12,075,916.00",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,603322.SH,超讯通信,"11,716,231.00",,"11,716,231.00",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,002104.SZ,恒宝股份,"62,428,928.00","73,848,621.00","-11,419,693.00",净卖出,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,002828.SZ,贝肯能源,"14,994,660.00","3,671,929.00","11,322,731.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,603716.SH,塞力医疗,,"10,325,385.00","-10,325,385.00",净卖出,东方财富证券股份有限公司拉萨团结路第一证券营业部
,833171.BJ,国航远洋,"20,847,571.59","10,804,643.84","10,042,927.75",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,002828.SZ,贝肯能源,"13,109,929.00","3,079,598.00","10,030,331.00",净买入,东方财富证券股份有限公司拉萨东环路第一证券营业部
,603538.SH,美诺华,,"9,896,997.00","-9,896,997.00",净卖出,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,605099.SH,共创草坪,"9,834,884.00",,"9,834,884.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,300546.SZ,雄帝科技,"25,456,807.00","35,005,407.00","-9,548,600.00",净卖出,东方财富证券股份有限公司拉萨团结路第二证券营业部
,603716.SH,塞力医疗,,"9,212,169.36","-9,212,169.36",净卖出,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002615.SZ,哈尔斯,"14,293,816.00","5,097,734.00","9,196,082.00",净买入,东方财富证券股份有限公司拉萨东环路第一证券营业部
,002615.SZ,哈尔斯,"15,778,961.00","6,636,750.00","9,142,211.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,000525.SZ,红太阳,"9,074,911.00","18,202,444.00","-9,127,533.00",净卖出,东方财富证券股份有限公司拉萨团结路第一证券营业部
,601022.SH,宁波远洋,"8,705,294.00",,"8,705,294.00",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,601022.SH,宁波远洋,"8,342,910.00",,"8,342,910.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,605099.SH,共创草坪,"8,269,971.00",,"8,269,971.00",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,603538.SH,美诺华,"8,091,073.21",,"8,091,073.21",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,601022.SH,宁波远洋,"8,069,565.00",,"8,069,565.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,000525.SZ,红太阳,"8,001,022.00","14,987,847.00","-6,986,825.00",净卖出,东方财富证券股份有限公司拉萨团结路第二证券营业部
,002878.SZ,元隆雅图,"28,793,356.00","21,866,631.00","6,926,725.00",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,002181.SZ,粤 传 媒,"40,835,566.00","34,087,377.00","6,748,189.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,688573.SH,信宇人,"6,058,494.61",,"6,058,494.61",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,000554.SZ,泰山石油,"11,786,221.00","5,768,273.00","6,017,948.00",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,605099.SH,共创草坪,"5,962,472.00",,"5,962,472.00",净买入,东方财富证券股份有限公司拉萨东环路第一证券营业部
,833171.BJ,国航远洋,"17,047,921.93","11,273,761.87","5,774,160.06",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,301141.SZ,中科磁业,"12,656,570.00","7,007,432.00","5,649,138.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,300164.SZ,通源石油,"15,068,374.00","20,672,116.00","-5,603,742.00",净卖出,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002615.SZ,哈尔斯,"11,733,891.00","6,163,249.00","5,570,642.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
