trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy,side,reason
20250617,000525.SZ,中信证券股份有限公司浙江分公司,65064840.12,4.46,4561135.1,0.31,60503705.02,0,日涨幅偏离值达到7%的前5只证券
20250617,000525.SZ,东亚前海证券有限责任公司苏州分公司,54326771.57,3.72,0.0,0.0,54326771.57,0,日涨幅偏离值达到7%的前5只证券
20250617,000525.SZ,国泰海通证券股份有限公司成都北一环路证券营业部,40989192.0,2.81,5418.0,0.0,40983774.0,0,日涨幅偏离值达到7%的前5只证券
20250617,000525.SZ,华林证券股份有限公司北京分公司,30053656.3,2.06,366060.0,0.03,29687596.3,0,日涨幅偏离值达到7%的前5只证券
20250617,000525.SZ,华源证券股份有限公司深圳分公司,23043657.0,1.58,0.0,0.0,23043657.0,0,日涨幅偏离值达到7%的前5只证券
20250617,000525.SZ,国元证券股份有限公司宁波分公司,0.0,0.0,30478056.0,2.09,-30478056.0,1,日涨幅偏离值达到7%的前5只证券
20250617,000525.SZ,华泰证券股份有限公司南京大光路证券营业部,1585929.7,0.11,26037267.07,1.79,-24451337.37,1,日涨幅偏离值达到7%的前5只证券
20250617,000525.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,9074911.0,0.62,18202443.8,1.25,-9127532.8,1,日涨幅偏离值达到7%的前5只证券
20250617,000525.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,8001022.0,0.55,14987847.4,1.03,-6986825.4,1,日涨幅偏离值达到7%的前5只证券
20250617,000525.SZ,平安证券股份有限公司福州长乐北路证券营业部,5123355.21,0.35,14807943.56,1.02,-9684588.35,1,日涨幅偏离值达到7%的前5只证券
20250617,000554.SZ,机构专用,26797830.73,2.11,8659523.0,0.68,18138307.73,0,日换手率达到20%的前5只证券
20250617,000554.SZ,机构专用,26797830.73,2.11,8659523.0,0.68,18138307.73,0,日振幅值达到15%的前5只证券
20250617,000554.SZ,国金证券股份有限公司深圳分公司,12665432.0,1.0,4668503.0,0.37,7996929.0,0,日换手率达到20%的前5只证券
20250617,000554.SZ,国金证券股份有限公司深圳分公司,12665432.0,1.0,4668503.0,0.37,7996929.0,0,日振幅值达到15%的前5只证券
20250617,000554.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,12379246.85,0.97,8192732.0,0.64,4186514.85,0,日换手率达到20%的前5只证券
20250617,000554.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,12379246.85,0.97,8192732.0,0.64,4186514.85,0,日振幅值达到15%的前5只证券
20250617,000554.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,11786221.0,0.93,5768273.44,0.45,6017947.56,0,日换手率达到20%的前5只证券
20250617,000554.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,11786221.0,0.93,5768273.44,0.45,6017947.56,0,日振幅值达到15%的前5只证券
20250617,000554.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,11586322.44,0.91,8565067.83,0.67,3021254.61,0,日换手率达到20%的前5只证券
20250617,000554.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,11586322.44,0.91,8565067.83,0.67,3021254.61,0,日振幅值达到15%的前5只证券
20250617,000554.SZ,开源证券股份有限公司西安太华路证券营业部,0.0,0.0,21742172.8,1.71,-21742172.8,1,日振幅值达到15%的前5只证券
